"Index","Name","Extension","Hash","StoredSize","ExpandedSize","Flag","Protected","Compressed","Offset","End"
"203","objects/pack20/kingcobra_frame_1_3680436090.mdl",".mdl","0x126A9B4C","96468","96340","0x10","True","False","18054635","18151103"
"204","objects/pack20/kingcobra_frame_1_3910099984.mdl",".mdl","0x3530CE36","96463","96335","0x10","True","False","18151103","18247566"
"205","objects/pack20/kingcobra_frame_1_46414075.mdl",".mdl","0x19CE38E9","96458","96330","0x10","True","False","18247566","18344024"
"206","objects/pack20/kingcobra_frame_extension_1_2164749332.mdl",".mdl","0xA3B42B78","28725","28597","0x10","True","False","18344024","18372749"
"207","objects/pack20/kingcobra_frame_extension_1_2295715799.mdl",".mdl","0xCA3A7F79","28720","28592","0x10","True","False","18372749","18401469"
"208","objects/pack20/kingcobra_frame_extension_1_3088853998.mdl",".mdl","0xB75561EA","28730","28602","0x10","True","False","18401469","18430199"
"209","objects/pack20/kingcobra_front_fender_1_108812533.mdl",".mdl","0x442172FF","8163","8035","0x10","True","False","18430199","18438362"
"210","objects/pack20/kingcobra_front_fender_1_3411679352.mdl",".mdl","0x86B60E5C","8163","8035","0x10","True","False","18438362","18446525"
"211","objects/pack20/kingcobra_front_fender_1_3656049493.mdl",".mdl","0x1EB8AE0B","8163","8035","0x10","True","False","18446525","18454688"
"212","objects/pack20/kingcobra_front_suspension_1_1354735714.mdl",".mdl","0xBA9B0E4F","40216","40088","0x10","True","False","18454688","18494904"
"213","objects/pack20/kingcobra_front_suspension_1_1768965567.mdl",".mdl","0x6B2FA97D","40216","40088","0x10","True","False","18494904","18535120"
"214","objects/pack20/kingcobra_front_suspension_1_3566690153.mdl",".mdl","0xCCC46711","40212","40084","0x10","True","False","18535120","18575332"
"215","objects/pack20/kingcobra_front_suspension_1_87767741.mdl",".mdl","0x6A9CCA7D","40216","40088","0x10","True","False","18575332","18615548"
"216","objects/pack20/kingcobra_headlight_1_2781113808.mdl",".mdl","0x0C1EC112","6959","6831","0x10","True","False","18615548","18622507"
